timestamp,player_count
1750828139747,0
1750828463816,4
1750828760928,2
1750829107647,6
1750829437229,7
1750829753966,8
1750830079490,10
1750830401583,9
1750830735598,4
1750831066139,4
1750831398074,3
1750831709485,7
1750832063175,7
1750832387706,8
1750832719175,8
1750833048421,9
1750833376419,8
1750833696688,8
1750834037053,10
1750834374269,9
1750834713044,9
1750835060991,12
1750835390154,13
1750835735823,12
1750836056120,15
1750836380294,13
1750836719108,12
1750837043078,12
1750837352262,8
1750837674470,9
1750838005346,11
1750838346903,10
1750838685640,10
1750839028143,12
1750839373396,14
1750839709571,14
1750840041541,13
1750840383308,12
1750840732432,8
1750841062411,8
1750841525884,6
1750841725545,10
1750842375830,4
1750842703738,4
1750843040397,5
1750843380527,4
1750843713475,4
1750844021323,6
1750844400602,8
1750844719597,8
1750845062455,9
1750845400402,11
1750845718389,15
1750846039417,10
1750846366366,10
1750846702585,10
1750847028090,12
1750847364951,8
1750847688886,7
1750848018582,7
1750848345207,7
