timestamp,player_count
1751328091482,7
1751328412173,8
1751328723589,7
1751329038152,7
1751329351592,10
1751329659799,10
1751329976844,8
1751330294993,9
1751330603684,8
1751330924705,6
1751331234330,4
1751331561149,5
1751331863289,7
1751332176354,9
1751332487813,8
1751332799658,10
1751333114768,10
1751333427315,7
1751333738219,8
1751334058785,6
1751334366331,6
1751334679963,4
1751334993225,8
1751335308073,7
1751335619722,8
1751335932260,5
1751336243937,8
1751336557264,7
1751336873908,5
1751337184409,3
1751337496747,1
1751337813850,2
1751338127123,2
1751338437169,1
1751338755517,0
1751339061621,0
1751339373649,2
1751339689649,3
1751340000683,4
1751340315174,4
1751340626497,5
1751340940620,5
1751341250962,5
1751341570877,5
1751341884340,3
1751342196176,2
1751342511431,3
1751342820557,3
1751343137485,4
1751343451542,3
1751343760295,6
1751344068127,4
