timestamp,player_count
1747520068718,5
1747520359418,5
1747520724617,2
1747521065774,4
1747521451177,3
1747521813023,4
1747522259410,2
1747522668349,4
1747523382796,5
1747523778116,7
1747524090940,8
1747524435831,6
1747524742581,6
1747525094983,8
1747525467652,7
1747525792777,7
1747526344307,10
1747526703037,7
1747527085817,9
1747527761605,9
1747528108183,9
1747528601773,9
1747528882311,9
1747529249886,13
1747530178471,12
1747530614911,9
1747531336555,10
1747531740624,11
1747532120973,9
1747532479163,8
1747532844751,7
1747533183636,8
1747533506408,9
1747533835017,10
1747534625084,13
1747534955571,14
1747535695719,12
1747536267451,17
1747536654270,20
1747536974774,17
1747537321636,17
