timestamp,player_count
1749566335229,1
1749566653223,1
1749566971030,0
1749567285377,2
1749567632669,0
1749567940337,0
1749568306417,0
1749568686812,1
1749569035844,1
1749569343321,1
1749569681225,1
1749570036108,2
1749570372580,1
1749570716471,0
1749571051623,0
1749571397385,0
1749571742892,2
1749572068161,1
1749572416709,0
1749572794702,0
1749573131070,0
1749573454099,0
1749573783439,0
1749574095952,1
1749574429376,0
1749574784863,0
1749575156134,0
1749575519930,0
1749575838611,0
1749576159381,0
1749576482690,1
1749576806963,1
1749577134912,2
1749577455555,2
1749577804847,1
1749578122810,0
1749578459188,0
1749578773067,0
1749579083217,2
1749579415681,1
1749579768014,1
1749580133973,1
1749580492406,1
1749580816157,0
1749581151982,2
1749581478293,3
1749581804062,3
1749582115735,3
1749582483946,0
1749582822721,1
1749583152131,0
1749583483494,0
1749583797766,1
1749584124849,1
1749584454980,1
1749584792144,1
1749585129059,2
1749585425163,2
1749597483186,1
1749597781104,2
1749598079457,3
1749598670972,5
1749599269015,2
1749599574848,4
1749599919936,7
1749600221235,8
1749600539178,8
1749600875264,10
1749601180266,3
1749601577959,5
1749601899706,6
1749602214325,8
1749602548142,7
1749602869433,6
1749603199998,4
1749603500605,6
1749603816048,7
1749604150144,7
1749604469513,6
1749604774571,4
1749605103351,4
1749605402364,4
1749605710896,4
1749606042350,4
1749606365814,8
1749606697017,10
1749607024940,6
1749607364081,4
1749607726545,5
1749608070525,4
1749608640285,7
1749608976879,7
1749609289923,5
1749609606232,6
1749609946182,5
1749610287373,4
1749610605809,1
1749610936473,2
1749611260381,2
1749611584806,3
1749612212584,5
1749612528043,4
1749612840591,1
1749613166116,2
1749613488656,5
1749614137531,9
1749614455929,10
1749614771987,8
1749615109144,8
1749615435480,8
1749615756876,9
1749616067626,9
1749616393773,6
1749616715905,6
1749617032772,6
1749617353413,6
1749617677130,8
1749618002644,9
1749618310176,8
1749618625732,7
1749618945718,6
1749619281719,7
1749619586728,6
1749619906539,6
1749620242341,5
1749620562507,6
1749620860594,8
1749621194009,8
1749621516463,9
1749621831995,7
1749622151761,7
1749622472982,6
1749622812179,4
1749623167720,8
1749623506104,7
1749623819415,7
1749624132256,8
1749624445681,12
1749624752794,11
1749625076949,12
1749625393078,9
1749625713763,7
1749626044267,9
1749626365104,11
1749626705329,11
1749627001693,11
1749627335730,11
1749627660189,10
1749627993174,10
1749628335541,10
1749628675762,10
1749628985034,10
1749629312924,8
1749629616688,7
1749629931544,8
1749630545407,7
1749630869816,6
1749631212157,4
1749631538592,3
1749631841479,5
1749632174950,6
1749632504270,11
1749632822671,11
1749633148791,12
1749633483098,14
1749634202235,14
1749634412280,13
1749634760971,13
1749635093564,13
1749635422490,13
1749636051108,10
1749636377189,11
1749636727546,8
1749637047389,8
1749637352782,6
1749637690336,7
1749638005878,6
1749638320841,5
1749638950016,4
1749639273026,3
1749639932228,3
1749640277294,4
1749640621544,4
1749640964218,3
1749641305559,5
1749641623687,5
1749641971710,3
1749642298427,5
1749642945586,6
1749643279714,6
1749643587330,5
1749643935981,5
1749644276438,8
1749644619048,8
1749644943965,5
1749645305823,6
1749645640646,7
1749645981862,6
1749646336093,7
1749646673372,7
1749646991893,7
1749647323518,6
1749647658555,6
1749647988031,6
1749648309122,5
1749648810936,8
1749649144964,7
1749649489005,8
1749649846004,8
1749650752880,8
1749651105717,9
1749651451829,8
1749651791887,7
1749652149832,7
1749652697768,8
1749653341258,7
1749653843450,5
1749654181946,5
1749654537257,5
1749654860064,7
1749655170452,7
1749655490181,5
1749655822809,6
1749656154835,6
1749656501271,6
1749656813764,7
1749657149840,5
1749657446322,5
1749657825621,5
1749658146323,5
1749658481255,11
1749658821918,13
1749659169466,14
1749659520499,16
1749659873133,6
1749660524745,7
1749660886483,7
1749661626941,8
1749662009500,7
1749662591333,7
1749662979977,6
1749663358110,7
1749663688679,7
1749664014305,5
1749664640335,2
1749665713749,4
1749666078005,5
1749666440464,4
1749666828915,4
1749667193964,1
1749667567947,2
1749667941321,3
1749668322118,4
1749668705044,4
1749669056359,5
1749669406624,2
1749669724262,2
1749670368728,2
1749671039694,2
1749671706400,2
1749672029042,4
1749672694195,4
1749673025792,2
1749673366118,1
1749673718517,5
1749674047509,4
1749674410610,3
1749674758901,2
1749675688536,3
1749676026587,3
1749676352094,4
1749676707259,4
1749677039823,3
1749677363130,1
1749677690683,1
1749678033543,2
1749678366115,4
1749678679039,6
1749679348373,4
1749679691962,5
1749680336391,5
1749680666366,7
1749681000732,9
1749681324100,8
1749681678942,6
1749681997252,5
1749682335454,4
1749682674680,2
1749683002263,3
1749683647760,2
1749683985219,2
1749684331853,2
1749684686036,4
1749685341620,10
1749685674509,14
1749686004562,9
1749686341089,10
1749686646026,11
1749686968775,14
1749687314102,11
1749687643417,11
1749688285504,15
1749688607569,14
1749688959762,12
1749689286139,6
1749689613911,6
1749689945927,6
1749690290228,6
1749690622438,7
1749690959419,6
1749691669275,4
1749692035424,6
1749692394541,8
1749692755535,10
1749693121018,11
1749693835872,4
1749694203426,2
1749694928611,5
1749695263589,4
1749695920827,5
1749696258472,4
1749696594831,4
1749696923751,4
1749697262375,5
1749697599292,3
1749697954909,7
1749698284019,8
1749698608616,7
1749698938015,8
1749699269823,12
1749699611250,15
1749699939585,12
1749700271478,9
1749700605174,15
1749700936680,12
1749701271780,14
1749701602814,16
1749701945795,15
1749702269290,17
1749702589346,12
1749702919329,12
1749703247771,9
1749703593541,11
1749704254624,11
1749704912736,11
1749705254308,12
1749705591820,8
1749705942153,11
1749706261348,9
1749706608451,8
1749706933579,5
1749707904384,10
1749708577027,9
1749708905116,8
1749709244593,7
1749709577661,8
1749709932236,9
1749710268929,9
1749710606709,9
1749710915356,13
1749711243806,10
1749711584254,11
1749711940145,8
1749712271284,9
1749713261463,10
1749713597656,7
1749713936288,4
1749714308454,6
1749714940836,13
1749715259945,7
1749715591578,9
1749715928521,8
1749716278768,8
1749716989765,6
1749717644033,8
1749717981952,10
1749718311570,9
1749719015288,11
1749719378017,9
1749719736456,9
1749720101638,9
1749720466244,6
1749720829525,9
1749721161236,10
