timestamp,player_count
1748736055493,14
1748736379800,16
1748736695562,14
1748737011327,11
1748737327132,9
1748737966096,9
1748738289417,8
1748738633747,8
1748738982181,8
1748739299845,6
1748739617677,7
1748739936360,8
1748740288372,9
1748740607786,9
1748740915410,7
1748741228266,7
1748741924100,13
1748742250162,12
1748742550025,14
1748742888504,13
1748743205584,14
1748743538136,10
1748743843860,10
1748744177863,8
1748744516161,9
1748744828755,8
1748745142024,7
1748745459859,9
1748745800572,10
1748746118485,10
1748746443809,10
1748746759415,11
1748747068044,9
1748747399913,7
1748747713841,5
1748748032671,5
1748748350316,4
1748748664197,8
1748748988561,6
1748749321226,4
1748749672555,4
1748750011460,7
1748750345858,7
1748750682635,8
1748751001127,8
1748751330144,8
1748751663332,7
1748751980626,10
1748752304918,9
1748752622822,9
1748752953038,11
1748753294353,10
1748753626542,9
1748753972634,11
1748754304641,13
1748754609845,12
1748754957620,12
1748755275420,11
1748755585463,15
1748755898024,17
1748756239273,15
1748756590752,14
1748756955033,15
1748757293266,16
1748757639379,16
1748757969201,16
1748758325461,12
1748758666088,12
1748759029768,18
1748759336022,23
1748759641221,23
1748759983516,22
1748760330255,28
1748760646034,31
1748760970124,34
1748761306353,39
1748761644273,39
1748761957873,40
1748762285748,43
1748762626124,46
1748762961424,45
1748763267190,49
1748763583398,47
1748763926573,46
1748764258939,44
1748764587504,49
1748764901475,50
1748765227488,50
1748765527951,43
1748765855216,43
1748766178993,49
1748766515520,48
1748766814899,44
1748767129831,46
1748767456260,58
1748767785177,58
1748768096670,63
1748768402494,61
1748768717428,49
1748769028134,49
1748769343250,47
1748769643981,53
1748770287256,53
1748770604154,55
1748770909747,56
1748771226936,61
1748771550688,61
1748771855260,61
1748772165800,71
1748772474412,67
1748772784247,70
1748773102975,72
1748773424970,72
1748774087960,80
1748774396307,83
1748774715548,79
1748775033304,82
1748775345552,78
1748775656851,71
1748775992274,72
1748776338098,69
1748776687025,69
1748777015221,70
1748777339111,72
1748777663477,64
1748777983669,67
1748778303705,66
1748778621009,71
1748778947415,70
1748779264144,72
1748779898292,76
1748780224015,78
1748780548724,73
1748780865571,66
1748781176281,60
1748781496253,72
1748781808783,75
1748782136822,79
1748782762550,94
1748783090258,83
1748783410245,74
1748783724468,74
1748784039959,72
1748784683583,82
1748785001530,79
1748785317945,67
1748785619246,66
1748785931728,65
1748786584598,69
1748786905395,66
1748787250144,71
1748787560877,78
1748787889655,85
1748788211109,82
1748788519573,83
1748788860605,69
1748789231241,80
1748789587558,77
1748789907846,76
1748790227733,73
1748790548146,74
1748790877098,64
1748791200515,63
1748791513900,70
1748791829994,58
1748792152876,62
1748792460739,58
1748792786959,54
1748793109744,55
1748793410848,56
1748793738355,54
1748794067675,53
1748794374653,50
1748794674519,58
1748794984264,58
1748795303745,66
1748795615094,65
1748796246094,65
1748796560006,67
1748796874174,68
1748797184683,75
1748797508658,69
1748798138428,75
1748798443820,76
1748799068895,67
1748799391619,66
1748799706965,61
1748800024384,68
1748800345819,62
1748800658283,68
1748800995231,61
1748801301292,65
1748801604256,66
1748801920312,64
1748802243774,60
1748802878144,57
1748803191710,55
1748803502713,59
1748803822574,58
1748804132189,60
1748804445948,58
1748804754819,51
1748805078931,46
1748805402495,46
1748805717051,43
1748806035813,42
1748806349882,50
1748806670126,53
1748806986611,54
1748807599905,65
1748807922677,69
1748808235351,60
1748808564235,54
1748808878961,51
1748809573258,45
1748809912672,37
1748810232101,37
1748810546091,34
1748810896205,36
1748811229939,36
1748811519307,34
1748811843579,34
1748812170645,34
1748812476011,35
1748812807941,28
1748813113609,29
1748813419747,28
1748813774134,30
1748814388568,24
1748814733204,23
1748815389944,23
1748815703926,20
1748816021565,14
1748816338550,13
1748816685190,16
1748817032452,17
1748817345148,18
1748817660125,14
1748817995082,12
1748818318960,8
1748818662815,8
1748819288286,5
1748819630497,6
1748820297551,6
1748820615552,6
1748820966915,4
1748821279212,5
1748821596549,6
1748822220951,7
1748822554465,13
1748823198405,11
1748823534058,9
1748823860364,10
1748824160484,10
1748824474925,8
1748824791224,6
1748825093491,12
1748825504947,12
1748826096992,10
1748826443728,10
1748826764425,7
1748827104770,8
1748827414351,8
1748827733799,5
1748828072600,5
1748828360349,5
1748828675193,4
1748829022945,6
1748829475161,5
1748829748886,3
1748830032320,3
1748830321657,3
1748830619113,4
1748830967571,6
1748831281108,8
1748831605974,6
1748831917618,6
1748832266170,5
1748832579351,9
1748832884423,8
1748833227368,5
1748833545121,6
1748833875326,9
1748834209737,10
1748834840284,11
1748835159541,13
