timestamp,player_count
1751328091482,11
1751328412173,11
1751328723589,11
1751329038152,13
1751329351592,17
1751329659799,13
1751329976844,13
1751330294993,15
1751330603684,18
1751330924705,18
1751331234330,18
1751331561149,17
1751331863289,22
1751332176354,22
1751332487813,24
1751332799658,26
1751333114768,24
1751333427315,23
1751333738219,23
1751334058785,24
1751334366331,23
1751334679963,31
1751334993225,29
1751335308073,29
1751335619722,28
1751335932260,26
1751336243937,36
1751336557264,34
1751336873908,31
1751337184409,22
1751337496747,23
1751337813850,24
1751338127123,23
1751338437169,29
1751338755517,27
1751339061621,29
1751339373649,31
1751339689649,33
1751340000683,40
1751340315174,40
1751340626497,34
1751340940620,29
1751341250962,26
1751341570877,29
1751341884340,37
1751342196176,45
1751342511431,46
1751342820557,45
1751343137485,42
1751343451542,40
1751343760295,33
1751344068127,34
1751344383451,29
1751344695879,33
1751345016682,42
1751345342189,41
1751345643830,38
1751345955048,42
1751346269284,45
1751346582081,43
1751346893675,41
1751347210902,35
1751347523315,36
1751347838297,33
1751348149621,34
1751348622342,33
1751348915164,37
1751349191840,33
1751349478551,38
1751349752866,26
1751350044337,32
1751350338498,31
1751350638898,32
1751350961514,32
1751351270580,34
1751351575396,35
1751351891784,34
1751352200523,32
1751352516618,30
1751352832026,33
1751353138051,25
1751353451952,33
1751353761744,35
1751354070909,34
1751354387055,38
1751354702945,39
1751355015588,40
1751355325757,40
1751355643959,40
1751355955988,36
1751356267482,32
1751356596813,34
1751356942685,35
1751357275116,36
1751357591675,36
1751357910951,37
1751358275422,33
1751358586009,29
1751358901539,30
1751359240864,32
1751359527694,34
1751359833980,29
1751360152649,25
1751360464858,27
1751360777242,28
1751361089991,26
1751361405278,23
1751361716211,23
1751362022453,24
1751362340314,22
1751362650710,21
1751362964542,24
1751363278196,25
1751363586504,26
1751363897517,25
1751364215280,31
1751364530007,33
1751364836803,30
1751365147718,37
1751365460535,35
1751365769171,27
1751366085463,26
1751366397427,21
1751366707135,23
1751367024068,26
1751367329746,32
1751367656250,28
1751367971953,32
1751368272769,35
1751368585913,37
1751368901494,36
1751369225501,33
1751369522720,42
1751369841654,34
1751370153555,41
1751370463990,35
1751370780403,36
1751371090236,35
1751371415333,36
1751371739396,39
1751372107760,35
1751372414420,33
1751372743641,33
1751373100717,37
1751373409934,32
1751373721486,32
1751373999400,36
1751374309343,36
1751374598696,27
1751374901685,28
1751375204862,29
1751375527819,29
1751375869460,25
1751376175486,28
1751376477275,31
1751376818644,33
1751377111822,29
1751377441906,29
1751377751955,31
1751378073967,23
1751378384560,23
1751378744883,25
1751379095355,24
1751379411571,24
1751379727592,21
1751380037385,26
1751380344771,28
1751380652544,27
1751380969999,22
1751381304567,25
1751381642432,23
1751381973452,20
1751382318720,16
1751382661592,18
1751382980166,17
1751383331811,15
1751383655933,19
1751383985211,18
1751384332323,17
1751384670068,14
1751385001070,15
1751385337555,12
1751385671975,15
1751386002826,15
1751386345916,13
1751386701076,12
1751387173834,12
1751387608692,11
1751388051808,10
1751388568544,6
1751388962783,6
1751389258367,4
1751389580860,4
1751389873188,5
1751390183916,5
1751390503298,6
1751390919521,6
1751391272319,6
1751391577704,5
1751391932105,6
1751392229492,5
1751392570328,4
1751392891680,4
1751393188532,3
1751393539820,4
1751393871713,3
1751394187485,4
1751394513487,4
1751394823277,5
1751395167323,5
1751395484587,5
1751395808624,6
1751396147695,5
1751396513741,5
1751396812033,4
1751397134662,3
1751397643398,3
1751397943534,2
1751398252313,2
1751398542502,1
1751398842019,0
1751399140453,1
1751399437214,0
1751399776893,1
1751400112805,1
1751400487542,1
1751400850899,0
1751401192468,0
1751401494307,0
1751401825688,2
1751402188655,2
1751402498483,1
1751402805879,1
1751403133891,0
1751403467779,0
1751403805363,0
1751404131585,0
1751404473142,0
1751404812086,0
1751405177338,0
1751405511425,0
1751405874328,0
1751406195832,0
1751406495982,0
1751406818641,2
1751407155589,0
1751407523487,1
1751407836713,0
1751408166175,0
1751408491890,0
1751408825130,1
